#Year Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec
1855 85.6 54.3 61.3 10.1 60.0 43.9 101.0 47.9 88.4 187.5 28.2 55.4
1856 93.5 50.6 36.3 127.3 55.7 40.3 16.5 64.7 67.6 74.5 38.7 87.1
1857 72.3 10.6 54.4 60.7 19.0 38.2 43.7 66.3 93.6 191.4 57.1 25.0
1858 27.0 33.1 22.9 94.1 65.7 14.1 69.6 55.5 75.2 66.2 50.1 116.6
1859 59.6 78.3 49.7 92.4 36.8 45.7 66.6 58.3 135.3 119.8 125.1 127.1
1860 129.2 29.3 59.3 47.6 88.7 205.0 84.7 115.0 99.2 53.2 80.2 127.7
1861 20.7 60.2 76.4 10.2 41.3 100.8 103.5 22.2 78.0 27.7 164.3 53.2
1862 104.0 20.1 124.2 57.5 123.9 53.8 52.8 36.3 29.7 171.8 22.4 72.7
1863 129.4 32.4 38.7 20.5 55.2 94.6 26.4 63.9 98.7 115.3 60.7 64.4
1864 72.6 53.6 84.2 62.6 39.4 35.9 8.0 20.6 61.7 36.1 108.3 58.8
1865 128.2 103.6 27.8 21.8 74.0 65.2 103.3 128.5 3.4 221.8 122.5 84.4
1866 169.4 163.7 73.4 62.2 40.6 41.2 41.5 66.3 168.1 40.6 48.1 51.0
1867 136.3 60.5 73.0 47.2 37.7 31.8 128.7 53.1 85.4 78.3 7.3 45.2
1868 110.9 23.8 73.5 82.7 41.3 14.9 17.2 119.7 93.8 70.7 40.6 215.4
1869 87.1 79.8 48.6 26.5 106.5 41.4 25.2 19.4 104.4 72.6 37.4 98.8
1870 56.2 66.9 45.4 9.7 36.8 7.9 13.3 69.7 55.9 96.3 51.9 85.1
1871 74.1 40.4 35.4 106.6 10.9 61.8 125.4 32.9 116.7 65.8 19.9 64.2
1872 175.2 60.3 75.1 36.6 60.7 76.0 82.3 35.0 47.6 160.1 115.4 142.0
1873 130.1 73.3 78.5 27.3 31.8 57.3 58.3 66.2 69.3 75.9 72.0 14.3
1874 53.3 52.9 11.7 73.9 47.1 49.9 32.6 60.2 81.2 131.3 78.7 118.6
1875 118.4 74.7 25.6 35.0 44.7 72.2 115.5 43.3 39.8 124.0 118.7 31.0
1876 26.4 71.4 94.7 59.2 13.4 37.3 16.2 99.8 117.2 73.5 105.0 202.4
1877 157.7 42.4 58.6 73.5 60.5 20.8 82.1 77.0 49.3 61.5 158.5 47.8
1878 34.5 59.7 39.8 85.8 114.0 44.0 41.4 174.7 37.5 90.8 63.2 39.3
1879 109.5 105.6 12.4 76.7 71.0 133.4 105.0 163.1 95.5 20.9 12.9 19.1
1880 21.1 90.0 21.3 45.4 9.8 54.8 133.4 24.0 147.2 116.7 63.9 107.2
1881 38.8 86.0 69.3 21.5 27.4 57.5 44.0 110.8 48.7 38.4 129.6 75.8
1882 45.3 48.1 15.1 91.0 47.2 77.9 72.3 54.0 57.1 173.5 109.5 73.6
1883 87.4 112.8 23.1 26.4 65.1 34.8 79.9 28.6 109.2 70.0 113.1 20.8
1884 87.4 63.5 60.7 42.4 26.6 55.3 55.6 32.2 51.3 22.1 39.2 94.3
1885 72.1 86.7 53.7 40.0 98.3 39.8 7.3 17.1 128.7 100.1 76.9 46.5
1886 101.6 17.8 65.4 68.3 97.9 16.7 62.5 33.5 67.2 135.5 92.7 179.8
1887 79.0 24.0 44.0 33.6 28.5 25.0 20.2 73.6 72.6 33.8 104.9 52.1
1888 29.5 29.4 87.5 60.2 55.7 71.2 157.1 64.2 27.4 42.4 130.2 54.1
1889 20.7 48.4 68.3 53.2 69.0 10.5 67.9 54.1 26.7 136.3 38.4 52.0
1890 100.4 18.5 29.7 67.4 42.9 69.5 50.1 92.5 34.2 23.4 49.3 41.7
1891 78.8 0.8 68.3 25.5 63.7 45.8 62.4 139.4 33.9 249.3 92.1 126.4
1892 21.3 28.2 27.8 18.7 20.9 36.2 60.7 89.9 78.9 113.8 69.4 43.4
1893 43.6 95.0 6.6 1.7 21.3 26.0 101.9 32.9 42.4 87.3 59.9 78.8
1894 103.6 56.8 47.7 44.3 31.7 52.2 132.7 50.6 44.8 132.7 124.6 65.2
1895 89.6 3.0 52.0 66.7 8.0 49.0 98.0 68.4 7.2 78.6 52.5 64.4
1896 28.1 9.5 90.2 13.7 8.5 45.6 17.5 65.1 170.2 77.6 21.6 121.2
1897 69.1 95.9 133.5 53.4 36.6 50.8 28.6 111.8 67.9 21.6 32.9 125.3
1898 14.1 57.4 17.3 42.1 113.8 24.8 14.8 31.3 24.9 126.8 117.6 91.9
1899 101.7 79.6 22.4 73.7 30.0 34.9 33.8 14.6 80.5 55.6 134.7 40.2
1900 94.8 140.8 29.9 35.2 42.4 72.7 27.3 88.7 26.8 60.4 83.6 99.6
1901 36.1 41.8 59.1 71.2 42.3 27.8 90.5 74.6 57.7 73.0 15.1 128.9
